ans_scoreclass,ans_comment_count,post_comment_count,post_answer_count,post_view_count,post_favorite_count,post_score,user_numans,user_numans_accepted,time_answer,num_block_code,num_i_sentences,num_wh_words,num_y_sentences,num_words,num_url,code_length
-1,1,0,1,490,0,3,1602,586,0.0,0,0,0,1,12.0,0.0,0.0
-1,0,1,4,347,0,0,14,7,64.0,1,2,0,0,15.0,1.0,109.0
-1,1,5,5,1365,0,1,305,148,0.0,1,0,0,0,9.0,2.0,517.0
-1,1,0,3,8384,0,2,163,46,0.0,1,0,0,0,13.0,1.0,182.0
-1,3,2,6,4831,1,18,10,1,0.0,0,0,0,0,12.0,0.0,0.0
-1,2,13,10,69163,23,93,168,49,1364.0,0,0,0,1,24.0,1.0,0.0
-1,2,8,2,124,0,1,6,0,0.0,0,0,0,0,9.0,1.0,0.0
-1,2,3,4,577,0,1,90,36,0.0,1,2,0,0,24.0,0.0,2384.0
-1,1,1,2,282,0,0,6,1,0.0,0,1,0,0,38.0,0.0,0.0
-1,6,6,1,69,0,0,195,40,0.0,2,0,1,1,37.0,0.0,201.0
-1,0,3,3,104,0,-4,168,79,0.0,1,0,0,0,6.0,0.0,36.0
-1,2,5,1,68,0,1,225,81,0.0,1,0,0,1,4.0,0.0,181.0
-1,0,1,4,7577,0,0,1,0,893.0,1,0,0,0,0.0,0.0,162.0
-1,0,1,1,39,0,-4,5,4,0.0,2,1,0,0,7.0,0.0,1069.0
-1,0,0,5,25322,0,5,61,9,0.0,1,0,0,0,12.0,0.0,33.0
-1,3,0,3,1375,1,1,610,144,0.0,0,0,0,0,2.0,0.0,0.0
-1,0,3,2,7904,3,5,20,5,0.0,0,0,0,1,16.0,1.0,0.0
-1,0,0,5,3747,0,1,12,3,0.0,0,0,0,0,6.0,0.0,0.0
-1,5,0,3,1352,0,1,45,13,8.0,0,1,0,0,10.0,2.0,0.0
-1,7,5,4,1288,1,0,58,10,0.0,1,0,1,0,4.0,0.0,164.0
-1,2,0,6,7504,2,2,1,0,331.0,0,0,0,0,4.0,0.0,0.0
-1,4,3,3,65,0,0,2,0,0.0,1,0,0,0,10.0,0.0,662.0
-1,3,9,2,2069,0,0,17,1,97.0,0,1,1,1,15.0,0.0,0.0
-1,0,1,1,64,0,2,11,1,0.0,0,1,0,0,17.0,2.0,0.0
-1,0,5,1,47,0,0,337,109,0.0,0,1,0,2,18.0,2.0,0.0
